9 WRITE monitordata 000000FF
947 WRITE monitorcmd 00000001
957 WRITE monitorx 000000B3
961 WRITE monitory 00000092
965 WRITE monitorcmd 00000001
971 WRITE monitorx 000000AB
975 WRITE monitorcmd 00000001
981 WRITE monitory 0000008C
985 WRITE monitorcmd 00000001
989 WRITE monitorx 000000B3
993 WRITE monitorcmd 00000001
1003 WRITE monitorx 000000B3
1007 WRITE monitory 00000093
1011 WRITE monitorcmd 00000001
1017 WRITE monitorx 000000AB
1021 WRITE monitorcmd 00000001
1027 WRITE monitory 0000008B
1031 WRITE monitorcmd 00000001
1035 WRITE monitorx 000000B3
1039 WRITE monitorcmd 00000001
1049 WRITE monitorx 000000B3
1053 WRITE monitory 00000094
1057 WRITE monitorcmd 00000001
1063 WRITE monitorx 000000AB
1067 WRITE monitorcmd 00000001
1073 WRITE monitory 0000008A
1077 WRITE monitorcmd 00000001
1081 WRITE monitorx 000000B3
1085 WRITE monitorcmd 00000001
1127 WRITE monitorx 000000B2
1131 WRITE monitory 0000008F
1135 WRITE monitorcmd 00000001
1141 WRITE monitorx 000000AC
1145 WRITE monitorcmd 00000001
1151 WRITE monitory 0000008F
1155 WRITE monitorcmd 00000001
1159 WRITE monitorx 000000B2
1163 WRITE monitorcmd 00000001
1173 WRITE monitorx 000000B2
1177 WRITE monitory 00000090
1181 WRITE monitorcmd 00000001
1187 WRITE monitorx 000000AC
1191 WRITE monitorcmd 00000001
1197 WRITE monitory 0000008E
1201 WRITE monitorcmd 00000001
1205 WRITE monitorx 000000B2
1209 WRITE monitorcmd 00000001
1219 WRITE monitorx 000000B2
1223 WRITE monitory 00000091
1227 WRITE monitorcmd 00000001
1233 WRITE monitorx 000000AC
1237 WRITE monitorcmd 00000001
1243 WRITE monitory 0000008D
1247 WRITE monitorcmd 00000001
1251 WRITE monitorx 000000B2
1255 WRITE monitorcmd 00000001
1265 WRITE monitorx 000000B2
1269 WRITE monitory 00000092
1273 WRITE monitorcmd 00000001
1279 WRITE monitorx 000000AC
1283 WRITE monitorcmd 00000001
1289 WRITE monitory 0000008C
1293 WRITE monitorcmd 00000001
1297 WRITE monitorx 000000B2
1301 WRITE monitorcmd 00000001
1311 WRITE monitorx 000000B2
1315 WRITE monitory 00000093
1319 WRITE monitorcmd 00000001
1325 WRITE monitorx 000000AC
1329 WRITE monitorcmd 00000001
1335 WRITE monitory 0000008B
1339 WRITE monitorcmd 00000001
1343 WRITE monitorx 000000B2
1347 WRITE monitorcmd 00000001
1357 WRITE monitorx 000000B2
1361 WRITE monitory 00000094
1365 WRITE monitorcmd 00000001
1371 WRITE monitorx 000000AC
1375 WRITE monitorcmd 00000001
1381 WRITE monitory 0000008A
1385 WRITE monitorcmd 00000001
1389 WRITE monitorx 000000B2
1393 WRITE monitorcmd 00000001
1403 WRITE monitorx 000000B2
1407 WRITE monitory 00000095
1411 WRITE monitorcmd 00000001
1417 WRITE monitorx 000000AC
1421 WRITE monitorcmd 00000001
1427 WRITE monitory 00000089
1431 WRITE monitorcmd 00000001
1435 WRITE monitorx 000000B2
1439 WRITE monitorcmd 00000001
1474 WRITE monitorx 000000B1
1478 WRITE monitory 0000008F
1482 WRITE monitorcmd 00000001
1488 WRITE monitorx 000000AD
1492 WRITE monitorcmd 00000001
1498 WRITE monitory 0000008F
1502 WRITE monitorcmd 00000001
1506 WRITE monitorx 000000B1
1510 WRITE monitorcmd 00000001
1520 WRITE monitorx 000000B1
1524 WRITE monitory 00000090
1528 WRITE monitorcmd 00000001
1534 WRITE monitorx 000000AD
1538 WRITE monitorcmd 00000001
1544 WRITE monitory 0000008E
1548 WRITE monitorcmd 00000001
1552 WRITE monitorx 000000B1
1556 WRITE monitorcmd 00000001
1566 WRITE monitorx 000000B1
1570 WRITE monitory 00000091
1574 WRITE monitorcmd 00000001
1580 WRITE monitorx 000000AD
1584 WRITE monitorcmd 00000001
1590 WRITE monitory 0000008D
1594 WRITE monitorcmd 00000001
1598 WRITE monitorx 000000B1
1602 WRITE monitorcmd 00000001
1612 WRITE monitorx 000000B1
1616 WRITE monitory 00000092
1620 WRITE monitorcmd 00000001
1626 WRITE monitorx 000000AD
1630 WRITE monitorcmd 00000001
1636 WRITE monitory 0000008C
1640 WRITE monitorcmd 00000001
1644 WRITE monitorx 000000B1
1648 WRITE monitorcmd 00000001
1658 WRITE monitorx 000000B1
1662 WRITE monitory 00000093
1666 WRITE monitorcmd 00000001
1672 WRITE monitorx 000000AD
1676 WRITE monitorcmd 00000001
1682 WRITE monitory 0000008B
1686 WRITE monitorcmd 00000001
1690 WRITE monitorx 000000B1
1694 WRITE monitorcmd 00000001
1704 WRITE monitorx 000000B1
1708 WRITE monitory 00000094
1712 WRITE monitorcmd 00000001
1718 WRITE monitorx 000000AD
1722 WRITE monitorcmd 00000001
1728 WRITE monitory 0000008A
1732 WRITE monitorcmd 00000001
1736 WRITE monitorx 000000B1
1740 WRITE monitorcmd 00000001
1750 WRITE monitorx 000000B1
1754 WRITE monitory 00000095
1758 WRITE monitorcmd 00000001
1764 WRITE monitorx 000000AD
1768 WRITE monitorcmd 00000001
1774 WRITE monitory 00000089
1778 WRITE monitorcmd 00000001
1782 WRITE monitorx 000000B1
1786 WRITE monitorcmd 00000001
1821 WRITE monitorx 000000B0
1825 WRITE monitory 0000008F
1829 WRITE monitorcmd 00000001
1835 WRITE monitorx 000000AE
1839 WRITE monitorcmd 00000001
1845 WRITE monitory 0000008F
1849 WRITE monitorcmd 00000001
1853 WRITE monitorx 000000B0
1857 WRITE monitorcmd 00000001
1867 WRITE monitorx 000000B0
1871 WRITE monitory 00000090
1875 WRITE monitorcmd 00000001
1881 WRITE monitorx 000000AE
1885 WRITE monitorcmd 00000001
1891 WRITE monitory 0000008E
1895 WRITE monitorcmd 00000001
1899 WRITE monitorx 000000B0
1903 WRITE monitorcmd 00000001
1913 WRITE monitorx 000000B0
1917 WRITE monitory 00000091
1921 WRITE monitorcmd 00000001
1927 WRITE monitorx 000000AE
1931 WRITE monitorcmd 00000001
1937 WRITE monitory 0000008D
1941 WRITE monitorcmd 00000001
1945 WRITE monitorx 000000B0
1949 WRITE monitorcmd 00000001
1959 WRITE monitorx 000000B0
1963 WRITE monitory 00000092
1967 WRITE monitorcmd 00000001
1973 WRITE monitorx 000000AE
1977 WRITE monitorcmd 00000001
1983 WRITE monitory 0000008C
1987 WRITE monitorcmd 00000001
1991 WRITE monitorx 000000B0
1995 WRITE monitorcmd 00000001
2005 WRITE monitorx 000000B0
2009 WRITE monitory 00000093
2013 WRITE monitorcmd 00000001
2019 WRITE monitorx 000000AE
2023 WRITE monitorcmd 00000001
2029 WRITE monitory 0000008B
2033 WRITE monitorcmd 00000001
2037 WRITE monitorx 000000B0
2041 WRITE monitorcmd 00000001
2051 WRITE monitorx 000000B0
2055 WRITE monitory 00000094
2059 WRITE monitorcmd 00000001
2065 WRITE monitorx 000000AE
2069 WRITE monitorcmd 00000001
2075 WRITE monitory 0000008A
2079 WRITE monitorcmd 00000001
2083 WRITE monitorx 000000B0
2087 WRITE monitorcmd 00000001
2097 WRITE monitorx 000000B0
2101 WRITE monitory 00000095
2105 WRITE monitorcmd 00000001
2111 WRITE monitorx 000000AE
2115 WRITE monitorcmd 00000001
2121 WRITE monitory 00000089
2125 WRITE monitorcmd 00000001
2129 WRITE monitorx 000000B0
2133 WRITE monitorcmd 00000001
2175 WRITE monitorx 000000AF
2179 WRITE monitory 0000008F
2183 WRITE monitorcmd 00000001
2189 WRITE monitorx 000000AF
2193 WRITE monitorcmd 00000001
2199 WRITE monitory 0000008F
2203 WRITE monitorcmd 00000001
2207 WRITE monitorx 000000AF
2211 WRITE monitorcmd 00000001
2221 WRITE monitorx 000000AF
2225 WRITE monitory 00000090
2229 WRITE monitorcmd 00000001
2235 WRITE monitorx 000000AF
2239 WRITE monitorcmd 00000001
2245 WRITE monitory 0000008E
2249 WRITE monitorcmd 00000001
2253 WRITE monitorx 000000AF
2257 WRITE monitorcmd 00000001
2267 WRITE monitorx 000000AF
2271 WRITE monitory 00000091
2275 WRITE monitorcmd 00000001
2281 WRITE monitorx 000000AF
2285 WRITE monitorcmd 00000001
2291 WRITE monitory 0000008D
2295 WRITE monitorcmd 00000001
2299 WRITE monitorx 000000AF
2303 WRITE monitorcmd 00000001
2313 WRITE monitorx 000000AF
2317 WRITE monitory 00000092
2321 WRITE monitorcmd 00000001
2327 WRITE monitorx 000000AF
2331 WRITE monitorcmd 00000001
2337 WRITE monitory 0000008C
2341 WRITE monitorcmd 00000001
2345 WRITE monitorx 000000AF
2349 WRITE monitorcmd 00000001
2359 WRITE monitorx 000000AF
2363 WRITE monitory 00000093
2367 WRITE monitorcmd 00000001
2373 WRITE monitorx 000000AF
2377 WRITE monitorcmd 00000001
2383 WRITE monitory 0000008B
2387 WRITE monitorcmd 00000001
2391 WRITE monitorx 000000AF
2395 WRITE monitorcmd 00000001
2405 WRITE monitorx 000000AF
2409 WRITE monitory 00000094
2413 WRITE monitorcmd 00000001
2419 WRITE monitorx 000000AF
2423 WRITE monitorcmd 00000001
2429 WRITE monitory 0000008A
2433 WRITE monitorcmd 00000001
2437 WRITE monitorx 000000AF
2441 WRITE monitorcmd 00000001
2451 WRITE monitorx 000000AF
2455 WRITE monitory 00000095
2459 WRITE monitorcmd 00000001
2465 WRITE monitorx 000000AF
2469 WRITE monitorcmd 00000001
2475 WRITE monitory 00000089
2479 WRITE monitorcmd 00000001
2483 WRITE monitorx 000000AF
2487 WRITE monitorcmd 00000001
2497 WRITE monitorx 000000AF
2501 WRITE monitory 00000096
2505 WRITE monitorcmd 00000001
2511 WRITE monitorx 000000AF
2515 WRITE monitorcmd 00000001
2521 WRITE monitory 00000088
2525 WRITE monitorcmd 00000001
2529 WRITE monitorx 000000AF
2533 WRITE monitorcmd 00000001
